Tumor_Sample_Barcode	Signature
TCGA-AB-2802	Signature_1
TCGA-AB-2804	Signature_1
TCGA-AB-2807	Signature_1
TCGA-AB-2808	Signature_1
TCGA-AB-2809	Signature_1
TCGA-AB-2814	Signature_1
TCGA-AB-2817	Signature_1
TCGA-AB-2819	Signature_1
TCGA-AB-2820	Signature_1
TCGA-AB-2822	Signature_1
TCGA-AB-2824	Signature_1
TCGA-AB-2830	Signature_1
TCGA-AB-2833	Signature_1
TCGA-AB-2839	Signature_1
TCGA-AB-2843	Signature_1
TCGA-AB-2847	Signature_1
TCGA-AB-2849	Signature_1
TCGA-AB-2850	Signature_1
TCGA-AB-2854	Signature_1
TCGA-AB-2861	Signature_1
TCGA-AB-2862	Signature_1
TCGA-AB-2865	Signature_1
TCGA-AB-2869	Signature_1
TCGA-AB-2872	Signature_1
TCGA-AB-2874	Signature_1
TCGA-AB-2878	Signature_1
TCGA-AB-2884	Signature_1
TCGA-AB-2888	Signature_1
TCGA-AB-2889	Signature_1
TCGA-AB-2894	Signature_1
TCGA-AB-2898	Signature_1
TCGA-AB-2900	Signature_1
TCGA-AB-2904	Signature_1
TCGA-AB-2905	Signature_1
TCGA-AB-2907	Signature_1
TCGA-AB-2921	Signature_1
TCGA-AB-2925	Signature_1
TCGA-AB-2926	Signature_1
TCGA-AB-2929	Signature_1
TCGA-AB-2930	Signature_1
TCGA-AB-2938	Signature_1
TCGA-AB-2939	Signature_1
TCGA-AB-2943	Signature_1
TCGA-AB-2945	Signature_1
TCGA-AB-2949	Signature_1
TCGA-AB-2956	Signature_1
TCGA-AB-2963	Signature_1
TCGA-AB-2964	Signature_1
TCGA-AB-2971	Signature_1
TCGA-AB-2974	Signature_1
TCGA-AB-2995	Signature_1
TCGA-AB-2998	Signature_1
TCGA-AB-2999	Signature_1
TCGA-AB-3006	Signature_1
TCGA-AB-3007	Signature_1
TCGA-AB-3012	Signature_1
TCGA-AB-2812	Signature_3
TCGA-AB-2813	Signature_3
TCGA-AB-2818	Signature_3
TCGA-AB-2821	Signature_3
TCGA-AB-2825	Signature_3
TCGA-AB-2829	Signature_3
TCGA-AB-2831	Signature_3
TCGA-AB-2832	Signature_3
TCGA-AB-2834	Signature_3
TCGA-AB-2835	Signature_3
